007043e0 pure3d::d3dPrimBufferStream::Vertex_1
00704420 pure3d::d3dPrimBufferStream::Vertex_0
00704470 pure3d::d3dPrimBufferStream::Vertex
00704500 AllocSimple
00704770 d3dShaderSetup
007048e0 pure3d::d3dErrorShader::ctor
00704be0 pure3d::d3dReflShader::ctor
007050f0 pure3d::d3dPointSpriteShader::ctor
00705440 pure3d::d3dCharacterShader::SetTopTexture
00705b10 pure3d::d3dLayeredShader::ctor
00706ae0 pure3d::d3dSpecularShader::ctor
00707310 pure3d::d3dCharacterShader::GetTextureTable
00707320 pure3d::d3dCharacterShader::GetIntTable
00707330 pure3d::d3dCharacterShader::GetFloatTable
00707340 pure3d::d3dCharacterShader::GetColourTable
007078e0 pure3d::d3dCharacterShader::ctor
00707980 pure3d::d3dCharacterShader::SetPass
00707ef0 pure3d::d3dVehicleShader::GetTextureTable
00707f00 pure3d::d3dVehicleShader::GetIntTable
00707f10 pure3d::d3dVehicleShader::GetFloatTable
00707f20 pure3d::d3dVehicleShader::GetColourTable
00708110 pure3d::d3dSimpleShader::SetSCMD
007087b0 pure3d::d3dVehicleShader::ctor
00709030 pure3d::d3dShadowShader::ctor
00709110 pure3d::d3dShadowDecalShader::ctor
00709350 pure3d::d3dDecalShader::ctor
00709480 pure3d::d3dSimpleShader::SetTexture
007099b0 pure3d::d3dVertexFadeShader::ctor
00709fe2 Direct3DCreate9
00733398 Str2
007333c0 phkResult
00733580 Format
00733980 Delim
00733a30 SubStr
0073523c IRefCount::vtable
0073a264 Control
00756c2c Tm
00766908 Caption
00767c84 pure3d::d3dShader::vtable
00767f0c OutputString
007686a4 pure3d::d3dFBEffectsShader::vtable
0076872c pure3d::d3dSimpleShader::vtable
007687b4 pddiObject::vtable
0076898c pure3d::d3dSimpleCBVLitShader::vtable
00768bd4 Entity::vtable
00768c10 pure3d::Skeleton::Partition::vtable
00768cfc Pose::vtable
00769f24 DrawablePrimitive::vtable
00769fd4 pure3d::ParticleEmitter::vtable
0076a308 Mode
0076ad2c CompositeDrawable::vtable
0076bb74 SomFrameController::vtable
007723ec Inventory::vtable
007746bc GUID_Unknown
007746cc GUID_POV
007746dc GUID_Key
007746ec GUID_Button
007746fc GUID_Slider
0077474c GUID_YAxis
0077475c GUID_XAxis
0077476c IID_IDirectInput8
0077477c CLSID_DirectInput8
0077484c pddiPrimBuffer::vtable
00774994 pure3d::d3dErrorShader::vtable
00774aac pure3d::d3dPointSpriteShader::vtable
00774b34 pure3d::d3dLayeredShader::vtable
00774bc4 pure3d::d3dSpecularShader::vtable
00774c4c pure3d::d3dCharacterShader::vtable
00774cd4 pure3d::d3dVehicleShader::vtable
00774d94 pure3d::d3dShadowShader::vtable
00774e1c pure3d::d3dShadowDecalShader::vtable
00774ea4 pure3d::d3dDecalShader::vtable
00774f3c pure3d::d3dVertexFadeShader::vtable
007bcd78 Str1
007be2c0 HeapNames
007bf72c lpSubKey
007c1088 numInventories
007db3e0 ArgList
007ec540 currentUID
007f0608 simplePixelShaderCode1
007f062c simplePixelShaderCode2
007f0644 simplePixelShaderCode3
007f0674 simplePixelShaderCode4
007f06a0 simplePixelShaderCode5
007f06c0 simplePixelShaderCode6
007f0710 pure3d::d3dSimpleShader::FloatTable
007f0758 pure3d::d3dSimpleShader::IntTable
007f0878 pure3d::d3dSimpleShader::ColourTable
007f08a8 pure3d::d3dSimpleShader:TextureTable
007f5a7c nPriority
007f6330 dwStackSize
007fc078 pure3d::d3dCharacterShader::FloatTable
007fc0c0 pure3d::d3dCharacterShader::IntTable
007fc198 pure3d::d3dCharacterShader::TextureTable
007fc418 pure3d::d3dVehicleShader::FloatTable
007fc4c0 pure3d::d3dVehicleShader::IntTable
007fc508 pure3d::d3dVehicleShader::ColourTable
007fc550 pure3d::d3dVehicleShader::TextureTable
0080fd9c hWnd
008118d8 inventories
00811ce0 FileHandlerManager::inst
00811d3c fileHandlerManager
00811d40 driveManager
00811d80 globalVehicleSoundInst
00811d84 carSoundInst
00811d88 boatSoundInst
00811d8c planeSoundInst
00811d90 collisionSoundInst
00811d94 feHudSoundInst
00811d98 statePropSoundInst
00811d9c firearmSoundInst
00811da0 soundBankInst
00811da4 soundDialogueTextInst
00816280 Str
0081a664 Args
0081a668 Source
0081b678 Dst
0081c68c File
0081cc04 soundFlowClient
0081cdb4 lpParameter
008227c8 mat
00822af8 cvManager
0082ae00 Base
00830a50 blendFactor
00830a58 newUID
00830a5c lastShader
00830a60 shaderCount
00830a68 shaders
008315f8 simplePixelShader1
008315fc simplePixelShader2
00831600 simplePixelShader3
00831604 simplePixelShader4
00831608 simplePixelShader5
0083160c simplePixelShader6
0083167c device
00831680 display
00831684 renderContext
00831698 numSkeletons
0085aa74 keyboardObjectThings
0085ae80 isKeyboard
0085af10 Dest
0085cdc4 CriticalSection
0085ce58 loadManager
0085ce5c stats
0085d134 dwUser
0085d5c0 pure3d::d3dDevice::inst
0085d5c8 primBufferStreams
0085d760 pure3d::d3dCharacterShader::ColourTable
00860c0c ProcName
00860d64 Operation
00860dc8 Name
00861cd4 ModuleName
00862098 uID
00864500 szFormat
00864554 chText
00864fd0 lpData
008651dc ValueName
008651ec SubKey
00865284 szVerb
0086528c szAgent
0086530c WindowName
00865310 ClassName
008672ec hDialogTemplate
00867348 LibFileName
008c05b8 cbMultiByte
008c075c lpCriticalSection
008c0890 dwTlsIndex
008c2edc lpMultiByteStr
008c4530 hMenu
008cb828 SrcStr
008d02fe EnumFunc
008e00bb riid
008e028f dwClsContext
008e0a8d pUnkOuter
008e0e22 rclsid
008e10c6 CoCreateInstance__
0090d564 X
0092664b fn
009776b8 DialogFunc
009aa428 $ReturnPoint$16567
009aa586 $ExceptionContinuation$16750
009aa7b3 start
009aa91c str_misaligned
009aa930 main_loop
009aaaed dest_misaligned
009aaafc find_end_of_dest_string_loop
009aab2f start_byte_3
009aab34 start_byte_2
009aab39 start_byte_1
009aab3e start_byte_0
009aab41 copy_start
009aab4d src_misaligned
009aab61 main_loop_0
009aab66 main_loop_entrance
009aadb0 LeadUp1
009aaddc LeadUp2
009aae00 LeadUp3
009aae3c UnwindUp7
009aae44 UnwindUp6
009aae4c UnwindUp5
009aae54 UnwindUp4
009aae5c UnwindUp3
009aae64 UnwindUp2
009aae6c UnwindUp1
009aae7f UnwindUp0
009aae98 TrailUp0
009aaea0 TrailUp1
009aaeac TrailUp2
009aaec0 TrailUp3
009aaf38 LeadDown1
009aaf58 LeadDown2
009aaf80 LeadDown3
009aafd4 UnwindDown7
009aafdc UnwindDown6
009aafe4 UnwindDown5
009aafec UnwindDown4
009aaff4 UnwindDown3
009aaffc UnwindDown2
009ab004 UnwindDown1
009ab017 UnwindDown0
009ab030 TrailDown0
009ab038 TrailDown1
009ab048 TrailDown2
009ab05c TrailDown3
009ab0f0 LeadUp1_0
009ab11c LeadUp2_0
009ab140 LeadUp3_0
009ab17c UnwindUp7_0
009ab184 UnwindUp6_0
009ab18c UnwindUp5_0
009ab194 UnwindUp4_0
009ab19c UnwindUp3_0
009ab1a4 UnwindUp2_0
009ab1ac UnwindUp1_0
009ab1bf UnwindUp0_0
009ab1d8 TrailUp0_0
009ab1e0 TrailUp1_0
009ab1ec TrailUp2_0
009ab200 TrailUp3_0
009ab278 LeadDown1_0
009ab298 LeadDown2_0
009ab2c0 LeadDown3_0
009ab314 UnwindDown7_0
009ab31c UnwindDown6_0
009ab324 UnwindDown5_0
009ab32c UnwindDown4_0
009ab334 UnwindDown3_0
009ab33c UnwindDown2_0
009ab344 UnwindDown1_0
009ab357 UnwindDown0_0
009ab370 TrailDown0_0
009ab378 TrailDown1_0
009ab388 TrailDown2_0
009ab39c TrailDown3_0
009ab3ed main_loop_1
009ab40a done
009ab40c retnull
009ab40d dwords
009ab435 difference_in_tail
009ab43a not_equal
009ab442 tail_loop_start
009ab469 tail_done
009ab48b str_misaligned_0
009ab49d main_loop_start
009ab4b3 return_from_main
009ab4b4 tail_less_then_4
009ab4b9 tail_loop
009ab4c3 retnull_0
009ab4c5 main_loop_2
