# addr size bucket subsystem class how
0040a580    141 SHR-DERIVED    atg/pure3d                         (module-range)                                     layout
0040a610    102 SHR-DERIVED    atg/pure3d                         pure3d::HeadTrackingLayer                          callers
0040a680     20 SHR-DERIVED    atg/pure3d                         (nearby)                                           layout-weak
0040a6a0     26 LEAK           gameobject/fighttree               (nearby)                                           layout-weak
0040a6c0     78 LEAK           gameobject/fighttree               (nearby)                                           layout-weak
0040a710      7 LEAK           gameobject/fighttree               NISCharacterAnimationAction                        callers
0040a720      7 MISSING-ENGINE engine/character                   AnimationAction                                    callers
0040a730      7 MISSING-ENGINE engine/character                   AnimationAction                                    callers
0040a740     10 LEAK           gameobject/character               CharacterObject                                    callers
0040a750    229 LEAK           gameobject/character               CharacterObject                                    between
0040a840     93 LEAK           gameobject/character               CharacterObject                                    between
0040a8a0     97 LEAK           gameobject/character               CharacterObject                                    callers
0040a910     55 LEAK           gameobject/ai                      AICoverState                                       callers
0040a950     89 LEAK           gameobject/ai                      (nearby)                                           layout-weak
0040a9b0     60 MISSING-ENGINE engine/character                   AnimationAction                                    callers
0040a9f0     13 MISSING-ENGINE engine/character                   AnimationAction                                    callers
0040aa00      7 LEAK           gameobject/ai                      AITask_FollowActor                                 callers
0040aa10     13 THIRD-PARTY    CRT+STL-inlined                    (nearby)                                           layout-weak
0040aa20      7 THIRD-PARTY    CRT+STL-inlined                    Concurrency::details::SchedulerBase                symname
0040aa30      8 THIRD-PARTY    CRT+STL-inlined                    (nearby)                                           layout-weak
0040aa40      8 MISSING-ENGINE engine/character                   (nearby)                                           layout-weak
0040aa50      8 MISSING-ENGINE engine/character                   AnimationAction                                    callers
0040aa60      8 MISSING-ENGINE engine/character                   AnimationAction                                    between
0040aa70      8 MISSING-ENGINE engine/character                   AnimationAction                                    callers
0040aa80     95 MISSING-ENGINE engine/character                   AnimationAction                                    callers
0040aae0     83 MISSING-ENGINE engine/character                   (nearby)                                           layout-weak
0040ab40     42 MISSING-ENGINE engine/character                   (nearby)                                           layout-weak
0040ab70     70 MISSING-ENGINE engine/character                   (nearby)                                           layout-weak
0040abc0    103 LEAK           gameobject/ai                      (nearby)                                           layout-weak
0040ac30     33 LEAK           gameobject/ai                      (nearby)                                           layout-weak
0040ac70      7 LEAK           gameobject/ai                      (nearby)                                           layout-weak
